kind,P,N,rep,wall_s,comm_s
strong,1,2048,1,47.796970,0.000000
strong,1,2048,2,47.756655,0.000000
strong,1,2048,3,47.510985,0.000000
strong,1,2048,4,47.464570,0.000000
strong,1,2048,5,47.503321,0.000000
strong,1,2048,6,47.675760,0.000000
strong,1,2048,7,47.848835,0.000000
strong,1,2048,8,47.650012,0.000000
strong,1,2048,9,47.811650,0.000000
strong,1,2048,10,47.706042,0.000000
strong,1,2048,11,47.673746,0.000000
strong,1,2048,12,47.628612,0.000000
strong,1,2048,13,47.560856,0.000000
strong,1,2048,14,47.583276,0.000000
strong,1,2048,15,47.568563,0.000000
strong,1,2048,16,47.472812,0.000000
strong,1,2048,17,47.525924,0.000000
strong,1,2048,18,47.458164,0.000000
strong,1,2048,19,47.373594,0.000000
strong,1,2048,20,47.316974,0.000000
strong,1,2048,21,47.135629,0.000000
strong,1,2048,22,47.137810,0.000000
strong,1,2048,23,47.066919,0.000000
strong,1,2048,24,47.243686,0.000000
strong,1,2048,25,47.339028,0.000000
strong,1,2048,26,47.159509,0.000000
strong,1,2048,27,47.029929,0.000000
strong,1,2048,28,46.907390,0.000000
strong,1,2048,29,47.007764,0.000000
strong,1,2048,30,47.251207,0.000000
strong,1,2048,31,47.197921,0.000000
strong,2,2048,1,23.723488,0.132646
strong,2,2048,2,23.616864,0.115104
strong,2,2048,3,23.830124,0.244100
strong,2,2048,4,23.617994,0.134819
strong,2,2048,5,23.653579,0.153099
strong,2,2048,6,23.651433,0.152925
strong,2,2048,7,23.601217,0.122096
strong,2,2048,8,23.611396,0.114536
strong,2,2048,9,23.631543,0.130549
strong,2,2048,10,23.596715,0.121250
strong,2,2048,11,23.620261,0.149466
strong,2,2048,12,23.583390,0.116140
strong,2,2048,13,23.609526,0.127113
strong,2,2048,14,23.672822,0.142028
strong,2,2048,15,23.705903,0.137288
strong,2,2048,16,24.033410,0.288139
strong,2,2048,17,23.819979,0.140144
strong,2,2048,18,23.663462,0.100583
strong,2,2048,19,23.822424,0.119632
strong,2,2048,20,23.800193,0.114038
strong,2,2048,21,23.797102,0.116489
strong,2,2048,22,23.817754,0.129691
strong,2,2048,23,23.874720,0.124524
strong,2,2048,24,23.928061,0.160723
strong,2,2048,25,23.785995,0.124121
strong,2,2048,26,23.781067,0.135758
strong,2,2048,27,23.741062,0.119966
strong,2,2048,28,23.818914,0.125921
strong,2,2048,29,23.827036,0.125716
strong,2,2048,30,23.878123,0.146004
strong,2,2048,31,23.821307,0.127468
strong,4,2048,1,12.327990,0.403384
strong,4,2048,2,12.287965,0.390924
strong,4,2048,3,12.265609,0.375124
strong,4,2048,4,12.256158,0.369270
strong,4,2048,5,12.323623,0.401090
strong,4,2048,6,12.311556,0.402146
strong,4,2048,7,12.315964,0.351722
strong,4,2048,8,12.284300,0.392644
strong,4,2048,9,12.324147,0.406551
strong,4,2048,10,12.331653,0.417079
strong,4,2048,11,12.495257,0.510724
strong,4,2048,12,12.368149,0.436687
strong,4,2048,13,12.353394,0.420778
strong,4,2048,14,12.363819,0.428128
strong,4,2048,15,12.325769,0.404966
strong,4,2048,16,12.281525,0.372874
strong,4,2048,17,12.319926,0.403308
strong,4,2048,18,12.391466,0.401598
strong,4,2048,19,12.430002,0.438672
strong,4,2048,20,12.352286,0.403055
strong,4,2048,21,12.329462,0.399302
strong,4,2048,22,12.365451,0.403865
strong,4,2048,23,12.350105,0.413815
strong,4,2048,24,12.299738,0.380685
strong,4,2048,25,12.281091,0.373144
strong,4,2048,26,12.279994,0.362411
strong,4,2048,27,12.375150,0.412171
strong,4,2048,28,12.312322,0.377458
strong,4,2048,29,12.300693,0.288500
strong,4,2048,30,12.282963,0.360727
strong,4,2048,31,12.420783,0.425815
strong,8,2048,1,6.430451,0.349186
strong,8,2048,2,6.295378,0.257901
strong,8,2048,3,6.310172,0.274691
strong,8,2048,4,6.311176,0.283552
strong,8,2048,5,6.380036,0.334939
strong,8,2048,6,6.356386,0.310179
strong,8,2048,7,6.321563,0.286507
strong,8,2048,8,6.339807,0.302910
strong,8,2048,9,6.328897,0.301959
strong,8,2048,10,6.334575,0.298981
strong,8,2048,11,6.341345,0.319829
strong,8,2048,12,6.323014,0.305802
strong,8,2048,13,6.334712,0.309257
strong,8,2048,14,6.330902,0.313684
strong,8,2048,15,6.277110,0.289148
strong,8,2048,16,6.326529,0.309503
strong,8,2048,17,6.316302,0.303147
strong,8,2048,18,6.311865,0.303024
strong,8,2048,19,6.299696,0.292695
strong,8,2048,20,6.298228,0.288084
strong,8,2048,21,6.332083,0.306173
strong,8,2048,22,6.290159,0.284807
strong,8,2048,23,6.302889,0.292835
strong,8,2048,24,6.310173,0.297089
strong,8,2048,25,6.345420,0.318009
strong,8,2048,26,6.388815,0.336645
strong,8,2048,27,6.347768,0.322848
strong,8,2048,28,6.315037,0.294488
strong,8,2048,29,6.290495,0.281761
strong,8,2048,30,6.291055,0.284625
strong,8,2048,31,6.281172,0.274252
strong,16,2048,1,3.529048,0.376507
strong,16,2048,2,3.300471,0.212976
strong,16,2048,3,3.315176,0.216536
strong,16,2048,4,3.288438,0.203370
strong,16,2048,5,3.272494,0.200764
strong,16,2048,6,3.294324,0.201664
strong,16,2048,7,3.274112,0.205046
strong,16,2048,8,3.265400,0.195757
strong,16,2048,9,3.248052,0.179602
strong,16,2048,10,3.259576,0.183572
strong,16,2048,11,3.276735,0.188678
strong,16,2048,12,3.259257,0.181905
strong,16,2048,13,3.263130,0.186534
strong,16,2048,14,3.267973,0.177718
strong,16,2048,15,3.302425,0.200542
strong,16,2048,16,3.298306,0.197588
strong,16,2048,17,3.297202,0.191395
strong,16,2048,18,3.296004,0.199897
strong,16,2048,19,3.304324,0.207785
strong,16,2048,20,3.285207,0.200864
strong,16,2048,21,3.277101,0.196887
strong,16,2048,22,3.271841,0.197859
strong,16,2048,23,3.329248,0.232343
strong,16,2048,24,3.297494,0.204552
strong,16,2048,25,3.312606,0.209973
strong,16,2048,26,3.311343,0.211127
strong,16,2048,27,3.310634,0.209028
strong,16,2048,28,3.299938,0.199170
strong,16,2048,29,3.309855,0.209922
strong,16,2048,30,3.304036,0.206349
strong,16,2048,31,3.308199,0.214056
strong,24,2048,1,2.747234,0.476925
strong,24,2048,2,2.371799,0.186468
strong,24,2048,3,2.367750,0.177890
strong,24,2048,4,2.366090,0.182056
strong,24,2048,5,2.385127,0.179742
strong,24,2048,6,2.390844,0.180862
strong,24,2048,7,2.398637,0.184486
strong,24,2048,8,2.388482,0.183333
strong,24,2048,9,2.377551,0.175988
strong,24,2048,10,2.385458,0.181615
strong,24,2048,11,2.405843,0.186110
strong,24,2048,12,2.409784,0.182140
strong,24,2048,13,2.407537,0.188225
strong,24,2048,14,2.392394,0.182395
